site,site.code,bommie ID,quadrant,location,treatment,date deployed,pre-treatment weight,post-treatment weight,proportion from control,correction,corrected pre-treatment weight,difference final,rate dissolution
MRB,2,M10,3,sediment,left,"May 5, 2022",30.249,20.618,0.03703119082,1.120156491,29.12884351,8.510843509,0.3546184795
MRB,2,M10,3,bommie,left,"May 5, 2022",29.801,16.707,0.03703119082,1.103566518,28.69743348,11.99043348,0.4996013951
MRB,2,M10,4,sediment,right,"May 5, 2022",30.437,21.864,0.03703119082,1.127118355,29.30988164,7.445881645,0.3102450685
MRB,2,M10,4,bommie,right,"May 5, 2022",29.191,18.841,0.03703119082,1.080977491,28.11002251,9.269022509,0.3862092712
West,3,W6,1,sediment,upstream,"May 5, 2022",28.885,22.251,0.03703119082,1.069645947,27.81535405,5.564354053,0.2318480855
West,3,W6,1,bommie,upstream,"May 5, 2022",31.153,20.231,0.03703119082,1.153632688,29.99936731,9.768367312,0.4070153047
West,3,W6,2,sediment,downstream,"May 5, 2022",27.185,21.257,0.03703119082,1.006692923,26.17830708,4.921307077,0.2050544616
West,3,W6,2,bommie,downstream,"May 5, 2022",27.609,20.549,0.03703119082,1.022394147,26.58660585,6.037605853,0.2515669105
West,3,W6,3,sediment,left,"May 5, 2022",30.288,20.714,0.03703119082,1.121600708,29.16639929,8.452399292,0.3521833038
West,3,W6,3,bommie,left,"May 5, 2022",32.327,21.835,0.03703119082,1.197107306,31.12989269,9.294892694,0.3872871956
West,3,W6,4,sediment,right,"May 5, 2022",29.59,20.686,0.03703119082,1.095752936,28.49424706,7.808247064,0.3253436276
West,3,W6,4,bommie,right,"May 5, 2022",28.729,23.558,0.03703119082,1.063869081,27.66513092,4.107130919,0.171130455
West,3,W7,1,sediment,upstream,"May 5, 2022",31.265,26.066,0.03703119082,1.157780181,30.10721982,4.041219819,0.1683841591
West,3,W7,1,bommie,upstream,"May 5, 2022",31.312,22.692,0.03703119082,1.159520647,30.15247935,7.460479353,0.3108533064
West,3,W7,2,sediment,downstream,"May 5, 2022",29.493,24.122,0.03703119082,1.092160911,28.40083909,4.278839089,0.178284962
West,3,W7,2,bommie,downstream,"May 5, 2022",34.492,27.989,0.03703119082,1.277279834,33.21472017,5.225720166,0.2177383403
West,3,W7,3,sediment,left,"May 5, 2022",34.002,26.63,0.03703119082,1.25913455,32.74286545,6.11286545,0.2547027271
West,3,W7,3,bommie,left,"May 5, 2022",31.545,23.174,0.03703119082,1.168148915,30.37685109,7.202851085,0.3001187952
West,3,W7,4,sediment,right,"May 5, 2022",32.682,24.788,0.03703119082,1.210253378,31.47174662,6.683746622,0.2784894426
West,3,W7,4,bommie,right,"May 5, 2022",32.747,23.485,0.03703119082,1.212660406,31.53433959,8.049339594,0.3353891498
West,3,W8,1,sediment,upstream,"May 5, 2022",30.54,25.408,0.03703119082,1.130932568,29.40906743,4.001067432,0.166711143
West,3,W8,1,bommie,upstream,"May 5, 2022",32.35,22.072,0.03703119082,1.197959023,31.15204098,9.080040977,0.3783350407
West,3,W8,2,sediment,downstream,"May 5, 2022",32.595,28.209,0.03703119082,1.207031665,31.38796834,3.178968335,0.132457014
West,3,W8,2,bommie,downstream,"May 5, 2022",31.114,27.231,0.03703119082,1.152188471,29.96181153,2.730811529,0.1137838137
West,3,W8,3,sediment,left,"May 5, 2022",34.221,27.529,0.03703119082,1.267244381,32.95375562,5.424755619,0.2260314841
West,3,W8,3,bommie,left,"May 5, 2022",31.819,23.689,0.03703119082,1.178295461,30.64070454,6.951704539,0.2896543558
West,3,W8,4,sediment,right,"May 5, 2022",30.095,22.777,0.03703119082,1.114453688,28.98054631,6.203546312,0.2584810963
West,3,W8,4,bommie,right,"May 5, 2022",34.503,24.54,0.03703119082,1.277687177,33.22531282,8.685312823,0.3618880343
West,3,W9,1,sediment,upstream,"May 5, 2022",30.732,25.106,0.03703119082,1.138042556,29.59395744,4.487957444,0.1869982268
West,3,W9,1,bommie,upstream,"May 5, 2022",30.787,22.774,0.03703119082,1.140079272,29.64692073,6.872920728,0.286371697
West,3,W9,2,sediment,downstream,"May 5, 2022",29.372,24.262,0.03703119082,1.087680137,28.28431986,4.022319863,0.167596661
West,3,W9,2,bommie,downstream,"May 5, 2022",30.928,23.28,0.03703119082,1.14530067,29.78269933,6.50269933,0.2709458054
West,3,W9,3,sediment,left,"May 5, 2022",28.883,20.341,0.03703119082,1.069571885,27.81342812,7.472428115,0.3113511715
West,3,W9,3,bommie,left,"May 5, 2022",28.425,20.053,0.03703119082,1.052611599,27.3723884,7.319388401,0.3049745167
West,3,W9,4,sediment,right,"May 5, 2022",29.235,22.205,0.03703119082,1.082606864,28.15239314,5.947393136,0.2478080473
West,3,W9,4,bommie,right,"May 5, 2022",29.408,21.122,0.03703119082,1.08901326,28.31898674,7.19698674,0.2998744475
West,3,W10,1,sediment,upstream,"May 5, 2022",27.126,22.717,0.03703119082,1.004508082,26.12149192,3.404491918,0.1418538299
West,3,W10,1,bommie,upstream,"May 5, 2022",27.126,21.65,0.03703119082,1.004508082,26.12149192,4.471491918,0.1863121632
West,3,W10,2,sediment,downstream,"May 5, 2022",26.571,22.301,0.03703119082,0.9839557714,25.58704423,3.286044229,0.1369185095
West,3,W10,2,bommie,downstream,"May 5, 2022",29.587,20.787,0.03703119082,1.095641843,28.49135816,7.704358157,0.3210149232
West,3,W10,3,sediment,left,"May 5, 2022",27.946,22.167,0.03703119082,1.034873659,26.91112634,4.744126341,0.1976719309
West,3,W10,3,bommie,left,"May 5, 2022",30.772,22.189,0.03703119082,1.139523804,29.6324762,7.443476196,0.3101448415
